n, x1, x2, y, phi1, phi2, Ax, Ay, Bx, By, C, time
140, -0.325977, 0.326033, 0.092387, 2.845169, 2.845385, -0.353000, 0.180740, 0.353000, 0.180740, 1.178097, 25403.000000
141, -0.322302, 0.322112, 0.094872, 2.812426, 2.810057, -0.353000, 0.184647, 0.353000, 0.184647, 1.178097, 24181.000000
142, -0.318214, 0.317827, 0.097631, 2.777486, 2.773203, -0.353000, 0.188858, 0.353000, 0.188858, 1.178097, 24498.000000
143, -0.313689, 0.313175, 0.100674, 2.740479, 2.735116, -0.353000, 0.193357, 0.353000, 0.193357, 1.178097, 24468.000000
144, -0.308705, 0.308149, 0.104017, 2.701536, 2.696037, -0.353000, 0.198129, 0.353000, 0.198129, 1.178097, 23676.000000
145, -0.303241, 0.302736, 0.107676, 2.660810, 2.656141, -0.353000, 0.203154, 0.353000, 0.203154, 1.178097, 22980.000000
146, -0.297278, 0.296916, 0.111664, 2.618510, 2.615526, -0.353000, 0.208413, 0.353000, 0.208413, 1.178097, 23332.000000
147, -0.290813, 0.290664, 0.115995, 2.574955, 2.574226, -0.353000, 0.213884, 0.353000, 0.213884, 1.178097, 23154.000000
148, -0.283862, 0.283956, 0.120674, 2.530613, 2.532261, -0.353000, 0.219544, 0.353000, 0.219544, 1.178097, 23033.000000
149, -0.276468, 0.276784, 0.125695, 2.486085, 2.489720, -0.353000, 0.225366, 0.353000, 0.225366, 1.178097, 23091.000000
150, -0.268694, 0.269162, 0.131040, 2.442024, 2.446834, -0.353000, 0.231324, 0.353000, 0.231324, 1.178097, 23127.000000
151, -0.260614, 0.261138, 0.136682, 2.398990, 2.403993, -0.353000, 0.237389, 0.353000, 0.237389, 1.178097, 23357.000000
152, -0.252291, 0.252778, 0.142590, 2.357345, 2.361668, -0.353000, 0.243529, 0.353000, 0.243529, 1.178097, 24274.000000
153, -0.243774, 0.244155, 0.148736, 2.317253, 2.320307, -0.353000, 0.249713, 0.353000, 0.249713, 1.178097, 24027.000000
154, -0.235100, 0.235336, 0.155093, 2.278747, 2.280264, -0.353000, 0.255906, 0.353000, 0.255906, 1.178097, 24450.000000
155, -0.226305, 0.226386, 0.161631, 2.241820, 2.241788, -0.353000, 0.262076, 0.353000, 0.262076, 1.178097, 25231.000000
156, -0.217427, 0.217362, 0.168319, 2.206465, 2.205055, -0.353000, 0.268187, 0.353000, 0.268187, 1.178097, 24730.000000
157, -0.208511, 0.208323, 0.175121, 2.172683, 2.170180, -0.353000, 0.274203, 0.353000, 0.274203, 1.178097, 24743.000000
158, -0.199606, 0.199326, 0.181996, 2.140483, 2.137240, -0.353000, 0.280088, 0.353000, 0.280088, 1.178097, 24878.000000
159, -0.190764, 0.190430, 0.188899, 2.109882, 2.106278, -0.353000, 0.285808, 0.353000, 0.285808, 1.178097, 24346.000000
160, -0.182045, 0.181692, 0.195778, 2.080901, 2.077312, -0.353000, 0.291325, 0.353000, 0.291325, 1.178097, 26045.000000
161, -0.173509, 0.173172, 0.202580, 2.053578, 2.050337, -0.353000, 0.296604, 0.353000, 0.296604, 1.178097, 24739.000000
162, -0.165223, 0.164930, 0.209243, 2.027966, 2.025338, -0.353000, 0.301611, 0.353000, 0.301611, 1.178097, 24454.000000
163, -0.157263, 0.157032, 0.215700, 2.004149, 2.002300, -0.353000, 0.306311, 0.353000, 0.306311, 1.178097, 23049.000000
